content_id,client_id,baseline_score,reason_code,impressions_90d,ctr,days_since_last_update,is_declining_label
content_191033e9f8ef,client_19581e27de,0,no_flag,1145,0.26,22,0
content_dd43e31efec7,client_7f2253d7e2,0,no_flag,14663,0.26,20,1
content_b2ba04fe6f20,client_4e07408562,0,no_flag,6861,0.26,25,1
content_b14d7b354fca,client_6208ef0f77,0,low_ctr_visible_page,3243,0.03,104,1
content_9ed477a57b1c,client_19581e27de,0,no_flag,49,0.0,22,1
content_c65f7d13bd83,client_349c41201b,0,no_flag,22314,0.3,20,0
content_c05562111bb2,client_4e07408562,0,no_flag,29734,0.21,20,0
content_69ea8e8a316c,client_19581e27de,0,no_flag,434,0.0,22,1
content_2ce85020583b,client_19581e27de,0,no_flag,249,0.0,22,0
content_5f2ad4dd4806,client_4e07408562,0,no_flag,2891,0.14,13,0
content_77e88b0fa138,client_7f2253d7e2,0,low_ctr_visible_page,548,0.0,20,1
content_c26ea743fe05,client_6208ef0f77,0,no_flag,756,0.26,104,0
content_e08f56f4dffc,client_19581e27de,0,no_flag,11382,0.54,104,1
content_5ed82128408f,client_a88a7902cb,0,low_ctr_visible_page,556,0.0,28,1
content_91a3f3b7ae14,client_19581e27de,0,no_flag,410,0.0,104,0
content_5e47e317909d,client_19581e27de,0,no_flag,325,0.31,20,0
content_573ecbdbc1d3,client_19581e27de,0,low_ctr_visible_page,2111,0.05,22,0
content_4bcb30ab7531,client_7f2253d7e2,0,no_flag,25485,0.52,20,1
content_ec2bbb028e38,client_25fc0e7096,0,no_flag,3,0.0,6,0
content_03bcbc4233c1,client_19581e27de,0,no_flag,51,0.0,22,1
content_8b733532c5d2,client_d029fa3a95,0,no_flag,98,0.0,20,0
content_17dde6e2a013,client_f369cb89fc,0,no_flag,42,2.38,20,0
content_388fb7521c5c,client_a88a7902cb,0,no_flag,180,0.0,28,1
content_886459294dd0,client_19581e27de,0,no_flag,1033,0.1,22,0
content_b694bf0bc08e,client_2c624232cd,0,no_flag,330,0.0,22,0
content_54fc8b1eac23,client_19581e27de,0,no_flag,2308,0.09,104,1
content_9080bbc5628f,client_19581e27de,0,low_ctr_visible_page,649,0.0,22,0
content_935404160e73,client_6208ef0f77,0,low_ctr_visible_page,30765,0.06,104,1
content_da41690162f0,client_19581e27de,0,no_flag,242,0.83,22,1
content_61634c7ce1a7,client_19581e27de,0,no_flag,14,0.0,22,0
content_56306f73f70e,client_3fdba35f04,0,no_flag,500,0.2,20,0
content_687159e4d8e4,client_6208ef0f77,0,no_flag,160,0.0,104,1
content_38efc381811c,client_8527a891e2,0,no_flag,11,0.0,102,1
content_c5b822611dc0,client_19581e27de,0,low_ctr_visible_page,2031,0.0,22,0
content_5eda0cd3ec43,client_19581e27de,0,no_flag,1060,0.09,104,1
content_0b70c349ffe1,client_349c41201b,0,no_flag,22610,0.36,20,0
content_9066e7c9a8ba,client_434c9b5ae5,0,no_flag,139,0.0,89,0
content_e348ec238ce1,client_e29c9c180c,0,no_flag,17,0.0,20,1
content_042f44da0463,client_6208ef0f77,0,no_flag,1463,0.41,104,0
content_2d49bd40ed2d,client_19581e27de,0,no_flag,324,0.0,104,0
content_36a7adb7cbc3,client_e29c9c180c,0,no_flag,1,0.0,20,0
content_4512e0545a22,client_6208ef0f77,0,low_ctr_visible_page,52739,0.06,104,0
content_79ac17a8ce98,client_f74efabef1,0,no_flag,938,0.11,20,1
content_ca60f87ce4bb,client_2c624232cd,0,no_flag,62,0.0,22,0
content_940700e03fa2,client_d4735e3a26,0,no_flag,1,0.0,20,0
content_a8093dc1e1ed,client_6208ef0f77,0,no_flag,4538,0.44,104,1
content_2aae67478342,client_3fdba35f04,0,no_flag,838,0.24,41,1
content_f9fef40bb6f1,client_d4735e3a26,0,no_flag,1,0.0,20,0
content_2023fff1c7f3,client_6208ef0f77,0,no_flag,25787,0.1,104,1
